fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"155","154",019c45cf-8c54-42ae-8b8d-412ed5636ca6,23.55589,120.39902,民雄鄉菁埔村菁埔,Q05,"10010050",嘉義縣,民雄鄉,Minxueng Township,Q,"10010"
"156","155",721f53e9-0ebd-4c29-b753-9ce4ffe6177b,23.544333,120.189031,108P057口湖梧南村宜梧順天宮管理委員會,P19,"10009190",雲林縣,口湖鄉,Kouhu Township,P,"10009"
"157","156",2d98bd03-6021-440d-b1b0-5d7310602943,23.02378,120.3288,新化區知義里淹水感測站,D26,"67000180",臺南市,新化區,Xinhua District,D,"67000"
"158","157",dcc38dbd-c960-4e8e-90d4-e32f74487292,25.016491,121.543802,大安區基隆路三段淹水感測站,A02,"63000030",臺北市,大安區,Daan District,A,"63000"
"159","158",d638b9c1-a9ec-43c2-b857-684dfcb8bba4,25.15952,121.45775,淡水區淡金路4號前,F27,"65000100",新北市,淡水區,Danshui District,F,"65000"
"160","159",5e5f6ecf-0710-435b-94b3-ac5a261eb16c,25.05662,121.44217,新莊區新北大道與新五路路口,F01,"65000050",新北市,新莊區,Xinzhuang District,F,"65000"
"161","160",3aa951c9-d277-4d76-9320-82405a77516c,23.4669609,120.3103704,108Q018太保東勢里東和宮,Q12,"10010010",嘉義縣,太保市,Taibao City,Q,"10010"
"162","161",b51559f1-5486-43e1-b5df-b6ef9794b477,23.4744334,120.1509218,108Q028東石型厝村張元帥堂,Q09,"10010090",嘉義縣,東石鄉,Dongshi Township,Q,"10010"
"163","162",68966204-f3b4-4df8-919b-027979e0b232,23.4553038,120.4086566,108Q061水上三和村北回國小,Q13,"10010120",嘉義縣,水上鄉,Shuishang Township,Q,"10010"
"164","163",bf8be0f3-dd8c-4ba2-b144-e747074ee26e,22.42556,120.5324,佳冬鄉羌光路淹水感測站,T21,"10013210",屏東縣,佳冬鄉,Jiadong Township,T,"10013"
"165","164",12f8db0c-392d-467f-b7f6-158459474f79,23.385744,120.1703483,108Q050布袋龍江里卿雲廟,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
"166","165",e170c3d4-1d1b-44d2-8fc6-efb99bf5b9fe,23.047882,120.193127,安中路二段2巷130號前(淹水站8),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"167","166",1744117b-8c70-4748-a45c-23b4e7f0903b,25.14032,121.45973,淡水區民權路民富街口,F27,"65000100",新北市,淡水區,Danshui District,F,"65000"
"168","167",b94a0f36-8c89-4104-b800-a323cab8e11f,23.36566,120.20765,義竹鄉後鎮村後鎮,Q10,"10010100",嘉義縣,義竹鄉,Yizhu Township,Q,"10010"
